Year,Month,Major Group Name,Group Name,Sub Group Name,Sub-Sub Group Name,Item Name,IndexValue
2025,June,Manufactured products,Other manufacturing,Manufacture of games and toys,*,Carrom board,209.3
2025,June,Manufactured products,Other manufacturing,Manufacture of games and toys,*,Playing cards,160.2
2025,June,Manufactured products,Other manufacturing,Manufacture of medical and dental instruments and supplies,*,*,157.6
2025,June,Manufactured products,Other manufacturing,Manufacture of medical and dental instruments and supplies,*,Intraocular lens,157.6
2025,June,Manufactured products,Other manufacturing,*,*,*,224.3
2025,June,Manufactured products,*,*,*,*,144.8
2025,June,Food index,*,*,*,*,190.2
2025,May,Wholesale Price Index,*,*,*,*,154.1
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,*,200.6
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),*,*,204.0
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,*,204.7
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Rajma,224.8
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Peas/chawali,189.2
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Urad,202.3
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Masur,188.0
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Moong,187.9
2025,May,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Arhar,214.8
