Year,Month,Major Group Name,Group Name,Sub Group Name,Sub-Sub Group Name,Item Name,IndexValue
2025,June,Manufactured products,Other manufacturing,Manufacture of jewellery and related articles,*,*,228.6
2025,June,Manufactured products,Other manufacturing,Manufacture of jewellery and related articles,*,Silver,189.5
2025,June,Manufactured products,Other manufacturing,Manufacture of jewellery and related articles,*,Gold & gold ornaments,229.8
2025,June,Manufactured products,Other manufacturing,Manufacture of musical instruments,*,*,204.3
2025,June,Manufactured products,Other manufacturing,Manufacture of musical instruments,*,"Stringed musical instruments (incl. santoor, guitars, etc.)",204.3
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,*,171.4
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,Table tennis table,129.8
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,Football,170.8
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,Cricket bat,215.7
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,Cricket ball,218.5
2025,June,Manufactured products,Other manufacturing,Manufacture of sports goods,*,Sports goods of rubber (incl. balls),153.6
2025,June,Manufactured products,Other manufacturing,Manufacture of games and toys,*,*,162.6
2025,June,Manufactured products,Other manufacturing,Manufacture of games and toys,*,Non mechanical toys,229.9
2025,June,Manufactured products,Other manufacturing,Manufacture of games and toys,*,Plastic moulded-others toys,150.4
